"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-02",24920,"1F","F",30,30,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",25250,"1A","P",100,230,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",23390,"03","F",300,300,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",22480,"1B","T",430,730,"Om","2018-01-01T08:46:43Z"
1,"2018-01-02",37190,"2F","P",800,900,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",38930,"2A","P",930,1030,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",40050,"2B","P",1100,1300,"DM","2018-01-01T08:46:43Z"
1,"2018-01-02",39630,"3B","T",1330,1630,"Dm","2018-01-01T08:46:43Z"
1,"2018-01-02",44500,"DP","P",1700,1930,"EM","2018-01-01T08:46:43Z"
1,"2018-01-02",37530,"4B","F",2100,2100,NA,"2018-01-01T08:46:43Z"
1,"2018-01-02",26690,"4C","F",2400,2400,NA,"2018-01-01T08:46:43Z"
1,"2018-01-03",25520,"1F","F",30,30,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",25570,"1A","P",100,230,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",23890,"03","F",300,300,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",23200,"1B","T",430,730,"Om","2018-01-02T08:43:47Z"
1,"2018-01-03",39730,"2F","P",800,900,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",40380,"2A","P",930,1030,"DM","2018-01-02T08:43:47Z"
1,"2018-01-03",39870,"2B","P",1100,1300,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",39610,"3B","T",1330,1630,"Dm","2018-01-02T08:43:47Z"
1,"2018-01-03",46730,"DP","P",1700,1930,"EM","2018-01-02T08:43:47Z"
1,"2018-01-03",39850,"4B","F",2100,2100,NA,"2018-01-02T08:43:47Z"
1,"2018-01-03",27830,"4C","F",2400,2400,NA,"2018-01-02T08:43:47Z"
1,"2018-01-04",27230,"1F","F",30,30,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",27610,"1A","P",100,230,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",26270,"03","F",300,300,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",25650,"1B","T",430,730,"Om","2018-01-03T08:33:46Z"
1,"2018-01-04",41210,"2F","P",800,900,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",41930,"2A","P",930,1030,"DM","2018-01-03T08:33:46Z"
1,"2018-01-04",41470,"2B","P",1100,1300,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",40820,"3B","T",1330,1630,"Dm","2018-01-03T08:33:46Z"
1,"2018-01-04",46740,"DP","P",1700,1930,"EM","2018-01-03T08:33:46Z"
1,"2018-01-04",40150,"4B","F",2100,2100,NA,"2018-01-03T08:33:46Z"
1,"2018-01-04",28210,"4C","F",2400,2400,NA,"2018-01-03T08:33:46Z"
1,"2018-01-05",28980,"1F","F",30,30,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",29260,"1A","P",100,230,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",27280,"03","F",300,300,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",26040,"1B","T",430,730,"Om","2018-01-04T08:20:48Z"
1,"2018-01-05",41500,"2F","P",800,900,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",42020,"2A","P",930,1030,"DM","2018-01-04T08:20:48Z"
1,"2018-01-05",41460,"2B","P",1100,1300,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",40590,"3B","T",1330,1630,"Dm","2018-01-04T08:20:48Z"
1,"2018-01-05",46520,"DP","P",1700,1930,"EM","2018-01-04T08:20:48Z"
1,"2018-01-05",39550,"4B","F",2100,2100,NA,"2018-01-04T08:20:48Z"
1,"2018-01-05",28960,"4C","F",2400,2400,NA,"2018-01-04T08:20:48Z"
1,"2018-01-06",29150,"1F","F",30,30,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",29400,"1A","P",100,230,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",26560,"03","F",300,300,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",24620,"1B","T",430,730,"Om","2018-01-05T08:35:49Z"
1,"2018-01-06",34690,"2F","P",800,900,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",37150,"2A","P",930,1030,"DM","2018-01-05T08:35:49Z"
1,"2018-01-06",37060,"2B","P",1100,1300,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",36150,"3B","T",1330,1630,"Dm","2018-01-05T08:35:49Z"
1,"2018-01-06",43920,"DP","P",1700,1930,"EM","2018-01-05T08:35:49Z"
1,"2018-01-06",37100,"4B","F",2100,2100,NA,"2018-01-05T08:35:49Z"
1,"2018-01-06",28710,"4C","F",2400,2400,NA,"2018-01-05T08:35:49Z"
1,"2018-01-07",29170,"1F","F",30,30,NA,"2018-01-06T08:20:24Z"
1,"2018-01-07",29340,"1A","P",100,230,NA,"2018-01-06T08:20:24Z"
